ts,week,score,phrase
2024-12-17 19:59:40,202451,3.5,"santa claus busiest time"
2024-12-17 19:59:40,202451,3.5,"las tiendas"
2024-12-17 19:59:40,202451,3.5,"las casas"
2024-12-17 19:59:40,202451,3.5,"fbi informant charged"
2024-12-17 19:59:40,202451,3.444444444444444,"son hunter biden"
2024-12-17 19:59:40,202451,3.444444444444444,"president joe biden"
2024-12-17 19:59:40,202451,3.375,"workwear apparel brand dickies"
2024-12-17 19:59:40,202451,3.375,"skims black friday deals"
2024-12-17 19:59:40,202451,3.3333333333333335,"jaguar jaguar"
2024-12-17 19:59:40,202451,3.3333333333333335,"jaguar"
2024-12-17 19:59:40,202451,3.3333333333333335,"black friday sales"
2024-12-17 19:59:40,202451,3.3333333333333335,"garcia told bi"
2024-12-17 19:59:40,202451,3.3333333333333335,"rover tiny homes"
2024-12-17 19:59:40,202451,3.3333333333333335,"popular brands like"
2024-12-17 19:59:40,202451,3.25,"universal studios orlando ’"
2024-12-17 19:59:40,202451,3.25,"spotify wrapped"
2024-12-17 19:59:40,202451,3.25,"listening habitsat"
2024-12-17 19:59:40,202451,3.25,"newest google pixel 9"
2024-12-17 19:59:40,202451,3.25,"inch display"
2024-12-17 19:59:40,202451,3.25,"los jardines"
2024-12-17 19:59:40,202451,3.25,"business dealings"
2024-12-17 19:59:40,202451,3.1666666666666665,"macbook air m2"
2024-12-17 19:59:40,202451,3.1666666666666665,"playstation brand ’"
2024-12-17 19:59:40,202451,3.1666666666666665,"next youre sweating"
2024-12-17 19:59:40,202451,3.1666666666666665,"personal commuters"
2024-12-17 19:59:40,202451,3.1666666666666665,"2 million banana"
2024-12-17 19:59:40,202451,3.125,"ipad pro ($ 1"
2024-12-17 19:59:40,202451,3.0833333333333335,"new light — mid"
2024-12-17 19:59:40,202451,3.083333333333333,"acting career"
2024-12-17 19:59:40,202451,3.0,"immersive"
2024-12-17 19:59:40,202451,3.0,"doj officials asked"
2024-12-17 19:59:40,202451,3.0,"new york city"
2024-12-17 19:59:40,202451,3.0,"dropped 80 pounds"
2024-12-17 19:59:40,202451,3.0,"never fully adjust"
2024-12-17 19:59:40,202451,3.0,"electric vehicle lifestyle"
2024-12-17 19:59:40,202451,3.0,"9 ghz band"
2024-12-17 19:59:40,202451,3.0,"second spot —"
2024-12-17 19:59:40,202451,3.0,"7 years later"
2024-12-17 19:59:40,202451,3.0,"help"
2024-12-17 19:59:40,202451,3.0,"family"
2024-12-17 19:59:40,202451,3.0,"new audio add"
2024-12-17 19:59:40,202451,3.0,"generated podcast analyzing"
2024-12-17 19:59:40,202451,3.0,"nvidias 2020 acquisition"
2024-12-17 19:59:40,202451,3.0,"katherine saunders ted"
2024-12-17 19:59:40,202451,3.0,"199"
2024-12-17 19:59:40,202451,3.0,"day"
2024-12-17 19:59:40,202451,3.0,"early black friday"
2024-12-17 19:59:40,202451,3.0,"world"
2024-12-17 19:59:40,202451,3.0,"incredible deals available"
2024-12-17 19:59:40,202451,3.0,"great wireless earbuds"
2024-12-17 19:59:40,202451,3.0,"top"
2024-12-17 19:59:40,202451,3.0,"hefty price tag"
2024-12-17 19:59:40,202451,3.0,"10 times cheaper"
2024-12-17 19:59:40,202451,3.0,"ipad pro"
2024-12-17 19:59:40,202451,3.0,"latest ipad air"
2024-12-17 19:59:40,202451,3.0,"ipad air m2"
2024-12-17 19:59:40,202451,3.0,"money"
2024-12-17 19:59:40,202451,3.0,"california"
2024-12-17 19:59:40,202451,3.0,"second edition featuring"
2024-12-17 19:59:40,202451,3.0,"play ready instruments"
2024-12-17 19:59:40,202451,3.0,"ayasofya hamam bowl"
2024-12-17 19:59:40,202451,3.0,"usually purely functional"
2024-12-17 19:59:40,202451,3.0,"need walking assistance"
2024-12-17 19:59:40,202451,3.0,"functional tool walkers"
2024-12-17 19:59:40,202451,3.0,"ps5 home screen"
2024-12-17 19:59:40,202451,3.0,"man named david"
2024-12-17 19:59:40,202451,3.0,"sonys finally done"
2024-12-17 19:59:40,202451,3.0,"sony finally turns"
2024-12-17 19:59:40,202451,3.0,"ps5 dualsense controller"
2024-12-17 19:59:40,202451,3.0,"play tablet attached"
2024-12-17 19:59:40,202451,3.0,"extensive holiday sale"
2024-12-17 19:59:40,202451,3.0,"homes heating system"
2024-12-17 19:59:40,202451,3.0,"google nest thermostat"
2024-12-17 19:59:40,202451,3.0,"perfect christmas gift"
2024-12-17 19:59:40,202451,3.0,"war machine part"
2024-12-17 19:59:40,202451,3.0,"uk firm worth"
2024-12-17 19:59:40,202451,3.0,"set lifestyle high"
2024-12-17 19:59:40,202451,3.0,"1m (£ 1"
2024-12-17 19:59:40,202451,3.0,"model"
2024-12-17 19:59:40,202451,3.0,"meghan markle appoints"
2024-12-17 19:59:40,202451,3.0,"find candidate yahoo"
2024-12-17 19:59:40,202451,3.0,"american riviera orchard"
2024-12-17 19:59:40,202451,3.0,"means"
2024-12-17 19:59:40,202451,3.0,"experience"
2024-12-17 19:59:40,202451,3.0,"boutique marketing firm"
2024-12-17 19:59:40,202451,3.0,"courtesy"
2024-12-17 19:59:40,202451,3.0,"different way"
2024-12-17 19:59:40,202451,3.0,"major brand"
2024-12-17 19:59:40,202451,3.0,"abnehmspritze als lifestyle"
2024-12-17 19:59:40,202451,3.0,"ex keeps bankrolling"
2024-12-17 19:59:40,202451,3.0,"lifestyle"
2024-12-17 19:59:40,202451,3.0,"rearview glasses expand"
2024-12-17 19:59:40,202451,3.0,"functionality reign supreme"
2024-12-17 19:59:40,202451,3.0,"display camerapowerful hardware"
2024-12-17 19:59:40,202451,3.0,"edge screen"
2024-12-17 19:59:40,202451,3.0,"challenging tenure marked"
2024-12-17 19:59:40,202451,3.0,"zachary gerth moved"
2024-12-17 19:59:40,202451,3.0,"president donald trump"
2024-12-17 19:59:40,202451,3.0,"love airport lounges"
2024-12-17 19:59:40,202451,3.0,"recently bought land"
2024-12-17 19:59:40,202451,3.0,"help determine whether"
2024-12-17 19:59:40,202451,3.0,"net worth"
2024-12-17 19:59:40,202451,3.0,"told bbc sport"
2024-12-17 19:59:40,202451,3.0,"effective routine tailored"
2024-12-17 19:59:40,202451,3.0,"products featured meet"
2024-12-17 19:59:40,202451,3.0,"spanx"
2024-12-17 19:59:40,202451,3.0,"long life include"
2024-12-17 19:59:40,202451,3.0,"appreciated three things"
2024-12-17 19:59:40,202451,3.0,"cool high schoolers"
2024-12-17 19:59:40,202451,3.0,"one harrowing night"
2024-12-17 19:59:40,202451,3.0,"un clavier petit"
2024-12-17 19:59:40,202451,3.0,"though neil warnock"
2024-12-17 19:59:40,202451,3.0,"february last year"
2024-12-17 19:59:40,202451,3.0,"rhodes"
2024-12-17 19:59:40,202451,3.0,"pubic hair shaving"
2024-12-17 19:59:40,202451,3.0,"tiktok shop saw"
2024-12-17 19:59:40,202451,3.0,"tiktok shop"
2024-12-17 19:59:40,202451,3.0,"split weeks later"
2024-12-17 19:59:40,202451,3.0,"marketing // photo"
2024-12-17 19:59:40,202451,3.0,"mercedes"
2024-12-17 19:59:40,202451,3.0,"job ayo edebiri"
2024-12-17 19:59:40,202451,3.0,"michelin"
2024-12-17 19:59:40,202451,3.0,"second thought yahoo"
2024-12-17 19:59:40,202451,3.0,"sprawling beachfront estate"
2024-12-17 19:59:40,202451,3.0,"jay z ’"
2024-12-17 19:59:40,202451,3.0,"story robert f"
2024-12-17 19:59:40,202451,3.0,"loss meds"
2024-12-17 19:59:40,202451,3.0,"rich ditch hotels"
2024-12-17 19:59:40,202451,3.0,"rare whisky struggles"
2024-12-17 19:59:40,202451,3.0,"north pole home"
2024-12-17 19:59:40,202451,3.0,"lifestyle news roundup"
2024-12-17 19:59:40,202451,3.0,"hes running drills"
2024-12-17 19:59:40,202451,3.0,"elves toy production"
2024-12-17 19:59:40,202451,3.0,"santa claus"
2024-12-17 19:59:40,202451,3.0,"wikihow staff writer"
2024-12-17 19:59:40,202451,3.0,"lifestyle website dedicated"
2024-12-17 19:59:40,202451,3.0,"genauso slow travel"
2024-12-17 19:59:40,202451,3.0,"die zeit sinn"
2024-12-17 19:59:40,202451,3.0,"also entschleunigtes reisen"
2024-12-17 19:59:40,202451,3.0,"small biz based"
2024-12-17 19:59:40,202451,3.0,"useful"
2024-12-17 19:59:40,202451,3.0,"best sale yet"
2024-12-17 19:59:40,202451,3.0,"pretty much non"
2024-12-17 19:59:40,202451,3.0,"cashless agrarian lifestyle"
2024-12-17 19:59:40,202451,3.0,"bashing city"
2024-12-17 19:59:40,202451,3.0,"travel gear makers"
2024-12-17 19:59:40,202451,3.0,"deals"
2024-12-17 19:59:40,202451,3.0,"lose 20 pounds"
2024-12-17 19:59:40,202451,3.0,"fluid intake entirely"
2024-12-17 19:59:40,202451,3.0,"5 simple tips"
2024-12-17 19:59:40,202451,3.0,"biggest price drops"
2024-12-17 19:59:40,202451,3.0,"wallet affiliate links"
2024-12-17 19:59:40,202451,3.0,"perks — mostly"
2024-12-17 19:59:40,202451,3.0,"cozy dining atmosphere"
2024-12-17 19:59:40,202451,3.0,"often complicates things"
2024-12-17 19:59:40,202451,3.0,"second collaboration retailer"
2024-12-17 19:59:40,202451,3.0,"distinctly streetwear element"
2024-12-17 19:59:40,202451,3.0,"malbon"
2024-12-17 19:59:40,202451,3.0,"new collection celebrating"
2024-12-17 19:59:40,202451,2.9166666666666665,"getting new glasses"
2024-12-17 19:59:40,202451,2.8333333333333335,"ipad 9th generation"
2024-12-17 19:59:40,202451,2.8333333333333335,"lowest price ever"
2024-12-17 19:59:40,202451,2.8333333333333335,"tech equipment made"
2024-12-17 19:59:40,202451,2.8333333333333335,"old tribeca warehouse"
2024-12-17 19:59:40,202451,2.8333333333333335,"1 million converting"
2024-12-17 19:59:40,202451,2.8333333333333335,"36 organizing products"
2024-12-17 19:59:40,202451,2.777777777777778,"grandest new year"
2024-12-17 19:59:40,202451,2.777777777777778,"7 new year"
2024-12-17 19:59:40,202451,2.75,"glasses"
2024-12-17 19:59:40,202451,2.75,"best smartwatch"
2024-12-17 19:59:40,202451,2.75,"1 million"
2024-12-17 19:59:40,202451,2.75,"including tumi"
2024-12-17 19:59:40,202451,2.75,"undefeated introduce"
2024-12-17 19:59:40,202451,2.666666666666667,"hurricanes sarasota"
2024-12-17 19:59:40,202451,2.6666666666666665,"feds force google"
2024-12-17 19:59:40,202451,2.6666666666666665,"china opens"
2024-12-17 19:59:40,202451,2.6666666666666665,"’ er giving"
2024-12-17 19:59:40,202451,2.6666666666666665,"original list price"
2024-12-17 19:59:40,202451,2.6666666666666665,"california costa mesa"
2024-12-17 19:59:40,202451,2.6666666666666665,"samsung slashes 85"
2024-12-17 19:59:40,202451,2.6666666666666665,"ever sitewide sale"
2024-12-17 19:59:40,202451,2.6666666666666665,"acting"
2024-12-17 19:59:40,202451,2.6666666666666665,"sombrero galaxy casts"
2024-12-17 19:59:40,202451,2.6666666666666665,"steve mcqueen ’"
2024-12-17 19:59:40,202451,2.6666666666666665,"author ofa place"
2024-12-17 19:59:40,202451,2.6666666666666665,"black friday drove"
2024-12-17 19:59:40,202451,2.6666666666666665,"stars theresa nist"
2024-12-17 19:59:40,202451,2.6666666666666665,"frugal farm living"
2024-12-17 19:59:40,202451,2.6666666666666665,"vc nihal mehta"
2024-12-17 19:59:40,202451,2.6666666666666665,"money gets involved"
2024-12-17 19:59:40,202451,2.6666666666666665,"bogey boys welcomes"
2024-12-17 19:59:40,202451,2.5,"force google"
2024-12-17 19:59:40,202451,2.5,"motorola razr"
2024-12-17 19:59:40,202451,2.5,"google"
2024-12-17 19:59:40,202451,2.5,"apple laptop"
2024-12-17 19:59:40,202451,2.5,"known"
2024-12-17 19:59:40,202451,2.5,"make"
2024-12-17 19:59:40,202451,2.5,"skims"
2024-12-17 19:59:40,202451,2.5,"morocco taught"
2024-12-17 19:59:40,202451,2.5,"sombrero galaxy"
2024-12-17 19:59:40,202451,2.5,"new image"
2024-12-17 19:59:40,202451,2.5,"infrared light"
2024-12-17 19:59:40,202451,2.5,"died aged 113"
2024-12-17 19:59:40,202451,2.5,"apartment"
2024-12-17 19:59:40,202451,2.5,"6"
2024-12-17 19:59:40,202451,2.5,"theresa nist"
2024-12-17 19:59:40,202451,2.5,"networks"
2024-12-17 19:59:40,202451,2.5,"starred kitchen"
2024-12-17 19:59:40,202451,2.5,"... great"
2024-12-17 19:59:40,202451,2.5,"nihal mehta"
2024-12-17 19:59:40,202451,2.5,"nightly bathroom trips"
2024-12-17 19:59:40,202451,2.5,"expensive paintings"
2024-12-17 19:59:40,202451,2.5,"bogey boys"
2024-12-17 19:59:40,202451,2.416666666666667,"hotel stays"
2024-12-17 19:59:40,202451,2.388888888888889,"ballerina farm online"
2024-12-17 19:59:40,202451,2.375,"best glasses"
2024-12-17 19:59:40,202451,2.3333333333333335,"nvidia"
2024-12-17 19:59:40,202451,2.3333333333333335,"2024 motorola razr"
2024-12-17 19:59:40,202451,2.3333333333333335,"—"
2024-12-17 19:59:40,202451,2.25,"tan opened"
2024-12-17 19:59:40,202451,2.25,"ipad 9"
2024-12-17 19:59:40,202451,2.25,"m2 chip"
2024-12-17 19:59:40,202451,2.25,"craaaaazy price"
2024-12-17 19:59:40,202451,2.25,"dickies moving"
2024-12-17 19:59:40,202451,2.25,"console ’"
2024-12-17 19:59:40,202451,2.25,"british tech"
2024-12-17 19:59:40,202451,2.25,"could afford"
2024-12-17 19:59:40,202451,2.25,"age 113"
2024-12-17 19:59:40,202451,2.25,"tribeca loft"
2024-12-17 19:59:40,202451,2.25,"6 million"
2024-12-17 19:59:40,202451,2.25,"lifestyle products"
2024-12-17 19:59:40,202451,2.25,"multiple trips"
2024-12-17 19:59:40,202451,2.166666666666667,"precise —"
2024-12-17 19:59:40,202451,2.1666666666666665,"family could buy"
2024-12-17 19:59:40,202451,2.0,"winter festivities"
2024-12-17 19:59:40,202451,2.0,"theme park"
2024-12-17 19:59:40,202451,2.0,"perfect timing"
2024-12-17 19:59:40,202451,2.0,"nosferatu ‘"
2024-12-17 19:59:40,202451,2.0,"rise"
2024-12-17 19:59:40,202451,2.0,"wicked experience"
2024-12-17 19:59:40,202451,2.0,"meet elphaba"
2024-12-17 19:59:40,202451,2.0,"latest news"
2024-12-17 19:59:40,202451,2.0,"las vegas"
2024-12-17 19:59:40,202451,2.0,"fandom destinations"
2024-12-17 19:59:40,202451,2.0,"war drum"
2024-12-17 19:59:40,202451,2.0,"scalp chrome"
2024-12-17 19:59:40,202451,2.0,"leave chrome"
2024-12-17 19:59:40,202451,2.0,"last week"
2024-12-17 19:59:40,202451,2.0,"federal court"
2024-12-17 19:59:40,202451,2.0,"u"
2024-12-17 19:59:40,202451,2.0,"department"
2024-12-17 19:59:40,202451,2.0,"step count"
2024-12-17 19:59:40,202451,2.0,"flight attendant"
2024-12-17 19:59:40,202451,2.0,"diana coello"
2024-12-17 19:59:40,202451,2.0,"december 18"
2024-12-17 19:59:40,202451,2.0,"two years"
2024-12-17 19:59:40,202451,2.0,"skin color"
2024-12-17 19:59:40,202451,2.0,"fresh pair"
2024-12-17 19:59:40,202451,2.0,"face shape"
2024-12-17 19:59:40,202451,2.0,"change things"
2024-12-17 19:59:40,202451,2.0,"want"
2024-12-17 19:59:40,202451,2.0,"pick"
2024-12-17 19:59:40,202451,2.0,"unspecified number"
2024-12-17 19:59:40,202451,2.0,"memo outlining"
2024-12-17 19:59:40,202451,2.0,"lifestyle brands"
2024-12-17 19:59:40,202451,2.0,"getty images"
2024-12-17 19:59:40,202451,2.0,"staff"
2024-12-17 19:59:40,202451,2.0,"part"
2024-12-17 19:59:40,202451,2.0,"cut"
2024-12-17 19:59:40,202451,2.0,"slower pace"
2024-12-17 19:59:40,202451,2.0,"miranda mullings"
2024-12-17 19:59:40,202451,2.0,"italian ways"
2024-12-17 19:59:40,202451,2.0,"cultural differences"
2024-12-17 19:59:40,202451,2.0,"7 years"
2024-12-17 19:59:40,202451,2.0,"life"
2024-12-17 19:59:40,202451,2.0,"italy"
2024-12-17 19:59:40,202451,2.0,"perplexing rebrand"
2024-12-17 19:59:40,202451,2.0,"everying technology"
2024-12-17 19:59:40,202451,2.0,"cellular vehicle"
2024-12-17 19:59:40,202451,2.0,"5"
2024-12-17 19:59:40,202451,2.0,"sister outlet"
2024-12-17 19:59:40,202451,2.0,"first job"
2024-12-17 19:59:40,202451,2.0,"erin liam"
2024-12-17 19:59:40,202451,2.0,"auditing job"
2024-12-17 19:59:40,202451,2.0,"work"
2024-12-17 19:59:40,202451,2.0,"turned"
2024-12-17 19:59:40,202451,2.0,"decided"
2024-12-17 19:59:40,202451,2.0,"30"
2024-12-17 19:59:40,202451,2.0,"reviledis back"
2024-12-17 19:59:40,202451,2.0,"flashy visuals"
